WARNING: Could not fetch server CONFIG
 
SET: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                           
SET: rps=1036.0 (overall: 999.2) avg_msec=48.750 (overall: 50.013)
                                                                   
SET: rps=1103.6 (overall: 999.6) avg_msec=45.094 (overall: 49.994)
                                                                   
SET: rps=992.0 (overall: 999.5) avg_msec=49.931 (overall: 49.994)
                                                                  
SET: rps=972.0 (overall: 999.4) avg_msec=51.599 (overall: 49.999)
                                                                  
SET: rps=988.0 (overall: 999.4) avg_msec=50.591 (overall: 50.001)
                                                                  
SET: rps=1016.0 (overall: 999.5) avg_msec=49.679 (overall: 50.000)
                                                                   
SET: rps=956.2 (overall: 999.3) avg_msec=51.192 (overall: 50.004)
                                                                  
SET: rps=960.2 (overall: 999.2) avg_msec=52.445 (overall: 50.012)
                                                                  
SET: rps=984.1 (overall: 999.1) avg_msec=51.066 (overall: 50.016)
                                                                  
SET: rps=956.2 (overall: 999.0) avg_msec=51.876 (overall: 50.022)
                                                                  
SET: rps=1055.8 (overall: 999.2) avg_msec=47.802 (overall: 50.014)
                                                                   
SET: rps=860.6 (overall: 998.7) avg_msec=57.566 (overall: 50.037)
                                                                  
SET: rps=948.2 (overall: 998.5) avg_msec=52.956 (overall: 50.047)
                                                                  
SET: rps=956.0 (overall: 998.4) avg_msec=52.181 (overall: 50.054)
                                                                  
SET: rps=968.1 (overall: 998.2) avg_msec=51.263 (overall: 50.058)
                                                                  
SET: rps=1008.0 (overall: 998.3) avg_msec=50.524 (overall: 50.059)
                                                                   
SET: rps=1052.0 (overall: 998.5) avg_msec=47.068 (overall: 50.049)
                                                                   
SET: rps=1023.9 (overall: 998.6) avg_msec=48.867 (overall: 50.044)
                                                                   
SET: rps=1040.0 (overall: 998.7) avg_msec=48.066 (overall: 50.037)
                                                                   
SET: rps=988.0 (overall: 998.7) avg_msec=50.667 (overall: 50.040)
                                                                  
SET: rps=988.0 (overall: 998.6) avg_msec=50.525 (overall: 50.041)
                                                                  
SET: rps=1012.0 (overall: 998.7) avg_msec=49.536 (overall: 50.039)
                                                                   
SET: rps=992.0 (overall: 998.6) avg_msec=50.441 (overall: 50.041)
                                                                  
SET: rps=968.1 (overall: 998.5) avg_msec=51.485 (overall: 50.045)
                                                                  
SET: rps=988.0 (overall: 998.5) avg_msec=50.467 (overall: 50.047)
                                                                  
